coord_lon,coord_lat,weather_0_id,weather_0_main,weather_0_description,weather_0_icon,base,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,visibility,wind_speed,wind_deg,rain_1h,clouds_all,dt,sys_type,sys_id,sys_country,sys_sunrise,sys_sunset,timezone,id,name,cod,wind_gust,weather_1_id,weather_1_main,weather_1_description,weather_1_icon,message
23.7162,37.9795,800.0,Clear,clear sky,01d,stations,299.48,299.48,298.15,301.08,1016.0,62.0,1016.0,992.0,10000.0,0.45,184.0,,6.0,1727335127.0,2.0,2081401.0,GR,1727324188.0,1727367375.0,10800.0,264371.0,Athens,200,,,,,,
174.7667,-36.8667,804.0,Clouds,overcast clouds,04n,stations,287.23,286.55,286.71,287.99,1016.0,71.0,1016.0,1012.0,10000.0,5.14,320.0,,100.0,1727335094.0,2.0,2012285.0,NZ,1727287470.0,1727331607.0,43200.0,2193733.0,Auckland,200,,,,,,
-159.775,-21.2078,500.0,Rain,light rain,10n,stations,295.18,295.89,295.18,295.18,1018.0,94.0,1018.0,1017.0,10000.0,0.51,110.0,,20.0,1727335127.0,1.0,7271.0,CK,1727281505.0,1727325355.0,-36000.0,4035715.0,Avarua,200,,,,,,
44.4009,33.3406,800.0,Clear,clear sky,01d,stations,307.1,305.26,307.1,307.1,1008.0,22.0,1008.0,1004.0,10000.0,5.14,300.0,,0.0,1727335127.0,1.0,7597.0,IQ,1727319195.0,1727362442.0,10800.0,98182.0,Baghdad,200,,,,,,
49.892,40.3777,800.0,Clear,clear sky,01d,stations,297.18,297.13,297.18,297.18,1022.0,57.0,1022.0,1020.0,10000.0,6.17,30.0,,0.0,1727335127.0,1.0,8841.0,AZ,1727317916.0,1727361086.0,14400.0,587084.0,Baku,200,,,,,,
-8.0,12.65,801.0,Clouds,few clouds,02d,stations,295.38,296.27,295.38,295.38,1014.0,100.0,1014.0,975.0,10000.0,1.03,180.0,,20.0,1727335127.0,1.0,2354.0,ML,1727331664.0,1727375119.0,0.0,2460596.0,Bamako,200,,,,,,
95.3222,5.5577,802.0,Clouds,scattered clouds,03d,stations,303.44,308.4,303.44,303.44,1008.0,68.0,1008.0,1001.0,10000.0,2.82,8.0,,50.0,1727335128.0,,,ID,1727306831.0,1727350370.0,25200.0,1215502.0,Banda Aceh,200,4.55,,,,,
114.9481,4.9403,803.0,Clouds,broken clouds,04d,stations,303.14,305.57,303.1,303.14,1008.0,58.0,1008.0,1006.0,10000.0,2.68,230.0,,75.0,1727335128.0,1.0,9377.0,BN,1727302118.0,1727345665.0,28800.0,1820906.0,Brunei Town,200,0.0,,,,,
107.6186,-6.9039,803.0,Clouds,broken clouds,04d,stations,300.45,301.46,300.27,300.45,1010.0,58.0,1010.0,911.0,6668.0,0.89,24.0,,70.0,1727335128.0,2.0,2097877.0,ID,1727303812.0,1727347488.0,25200.0,1650357.0,Bandung,200,1.34,,,,,
100.5167,13.75,804.0,Clouds,overcast clouds,04d,stations,307.7,314.7,306.09,308.09,1008.0,56.0,1008.0,1007.0,10000.0,0.82,70.0,,100.0,1727335128.0,2.0,2093772.0,TH,1727305625.0,1727349083.0,25200.0,1609350.0,Bangkok,200,0.92,,,,,
18.555,4.3612,804.0,Clouds,overcast clouds,04d,stations,296.34,297.01,296.34,296.34,1014.0,88.0,1014.0,974.0,10000.0,0.72,342.0,,100.0,1727335128.0,,,CF,1727325245.0,1727368794.0,3600.0,2389853.0,Bangui,200,1.16,,,,,
-16.5833,13.45,500.0,Rain,light rain,10d,stations,298.42,299.35,298.42,298.42,1012.0,90.0,1012.0,1011.0,10000.0,6.39,118.0,0.69,100.0,1727335128.0,,,GM,1727333728.0,1727377174.0,0.0,2413875.0,City of Banjul,200,7.56,,,,,
2.159,41.3888,801.0,Clouds,few clouds,02d,stations,297.0,297.22,294.88,297.9,1007.0,68.0,1007.0,1000.0,10000.0,5.14,220.0,,20.0,1727335079.0,2.0,18549.0,ES,1727329386.0,1727372522.0,7200.0,3128760.0,Barcelona,200,,,,,,
-74.7964,10.9639,741.0,Fog,fog,50n,stations,299.03,300.13,299.03,299.03,1010.0,94.0,1010.0,1006.0,8000.0,2.06,180.0,,40.0,1727335128.0,1.0,8584.0,CO,1727347685.0,1727391152.0,-18000.0,3689147.0,Barranquilla,200,,,,,,
47.7888,30.5349,800.0,Clear,clear sky,01d,stations,309.12,306.61,309.12,309.12,1004.0,14.0,1004.0,1003.0,10000.0,13.38,310.0,,0.0,1727335128.0,1.0,7603.0,IQ,1727318366.0,1727361645.0,10800.0,99532.0,Basra,200,,,,,,
-61.6667,16.1667,500.0,Rain,light rain,10n,stations,297.73,298.7,297.73,297.73,1011.0,94.0,1011.0,992.0,10000.0,0.0,0.0,0.19,100.0,1727335128.0,1.0,8780.0,GP,1727344564.0,1727387973.0,-14400.0,3579731.0,Arrondissement de la Basse-Terre,200,,,,,,
-62.7261,17.2948,500.0,Rain,light rain,10n,stations,300.19,304.11,300.19,300.19,1011.0,91.0,1011.0,1011.0,10000.0,6.56,97.0,0.3,59.0,1727335093.0,2.0,2004028.0,KN,1727344824.0,1727388221.0,-14400.0,3575551.0,Basseterre,200,7.07,,,,,
116.3972,39.9075,804.0,Clouds,overcast clouds,04d,stations,296.09,295.56,296.09,296.09,1015.0,43.0,1015.0,1010.0,10000.0,3.26,186.0,,94.0,1727335128.0,1.0,9609.0,CN,1727301941.0,1727345146.0,28800.0,1816670.0,Beijing,200,3.87,,,,,
35.4944,33.8889,800.0,Clear,clear sky,01d,stations,300.56,301.04,300.56,302.25,1012.0,51.0,1012.0,1005.0,10000.0,1.03,0.0,,0.0,1727334913.0,1.0,7532.0,LB,1727321336.0,1727364575.0,10800.0,276781.0,Beirut,200,,,,,,
106.9896,-6.2349,721.0,Haze,haze,50d,stations,306.18,312.04,306.17,308.17,1008.0,58.0,1008.0,1005.0,5000.0,6.17,30.0,,40.0,1727335129.0,1.0,9383.0,ID,1727303966.0,1727347635.0,25200.0,1649378.0,Bekasi,200,,,,,,
-48.5044,-1.4558,800.0,Clear,clear sky,01n,stations,297.17,298.08,297.17,297.17,1010.0,94.0,1010.0,1009.0,10000.0,2.06,30.0,,0.0,1727335129.0,1.0,8321.0,BR,1727341302.0,1727384919.0,-10800.0,3405870.0,Belém,200,,,,,,
20.4651,44.804,800.0,Clear,clear sky,01d,stations,294.08,293.82,291.84,294.45,1015.0,61.0,1015.0,999.0,10000.0,3.6,170.0,,0.0,1727335129.0,2.0,2037836.0,RS,1727325011.0,1727368112.0,7200.0,792680.0,Belgrade,200,,,,,,
